,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,instant_bookable,ano,semestre,n_amenities,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Outros,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Entire home/apt,room_type_Outros,room_type_Private room,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_Outros,price
537,0,0,52.34654,13.64544,2,1.0,1.0,2,0,0,2022,1,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,39.0
539,0,1,52.53561,13.3482,1,1.0,1.0,2,43,0,2022,1,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,35.0
540,0,1,52.49462,13.35069,2,1.0,1.0,2,55,0,2022,1,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
543,0,0,52.40838,13.53149,4,1.0,1.0,1,81,1,2022,1,10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,58.0
544,0,0,52.40868,13.53306,4,1.0,1.0,1,53,1,2022,1,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,58.0
548,0,1,52.51772,13.42595,2,1.0,1.0,2,26,0,2022,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,59.0
550,0,1,52.50085,13.30172,3,1.0,2.0,1,239,0,2022,1,25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,69.0
551,0,0,52.47364,13.3214,3,1.0,1.0,1,28,0,2022,1,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,38.0
553,1,1,52.63905,13.2752,4,1.0,1.0,2,119,0,2022,1,20,0,0,1,0,0,0,0,1,0,0,0,1,0,0,40.0
554,1,1,52.54689,13.42632,2,1.0,1.0,2,82,0,2022,1,24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,49.0
556,0,1,52.54982,13.35196,2,1.0,1.0,2,41,0,2022,1,31,0,0,0,1,0,0,0,1,0,0,1,0,0,0,82.0
558,0,1,52.49206,13.38827,2,1.0,1.0,2,58,0,2022,1,18,1,0,0,0,0,1,0,0,1,0,0,0,0,0,72.0
559,1,1,52.52986,13.41253,1,1.0,1.0,1,117,0,2022,1,24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,33.0
563,0,1,52.53615,13.42204,2,1.0,1.0,2,62,0,2022,1,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,36.0
565,1,1,52.49158,13.42327,1,1.0,1.0,2,140,0,2022,1,37,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50.0
572,1,1,52.52604,13.3982,1,1.0,1.0,1,49,0,2022,1,24,0,0,0,1,0,0,0,1,0,0,1,0,0,0,75.0
574,0,1,52.4338,13.55078,1,1.0,2.0,2,8,0,2022,1,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,48.0
575,1,1,52.50386,13.37007,2,1.0,1.0,2,325,1,2022,1,36,1,0,0,0,0,1,0,0,1,0,0,0,0,0,69.0
578,0,0,52.47555,13.4234,2,1.0,1.0,2,12,0,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,43.0
588,0,1,52.50059,13.34231,1,1.0,1.0,1,38,0,2022,1,36,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50.0
589,1,1,52.50682,13.2147,4,1.0,1.0,2,76,1,2022,1,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,196.0
604,1,1,52.50376,13.41032,2,1.0,1.0,2,117,0,2022,1,28,0,0,0,1,0,0,0,1,0,0,1,0,0,0,28.0
608,0,1,52.53065,13.38183,2,1.0,1.0,1,72,0,2022,1,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
609,0,1,52.58711,13.40013,3,1.0,2.0,2,114,0,2022,1,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,50.0
612,0,1,52.55423,13.36646,3,2.0,2.0,2,14,0,2022,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0
614,0,1,52.49735,13.38417,2,1.0,1.0,2,74,0,2022,1,33,0,0,0,1,0,0,0,1,0,0,1,0,0,0,65.0
616,0,1,52.5539,13.37987,2,1.0,1.0,1,0,0,2022,1,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,24.0
619,0,0,52.50638,13.47975,2,2.0,2.0,1,0,0,2022,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95.0
624,1,1,52.50467,13.29144,1,1.0,1.0,1,51,0,2022,1,27,0,0,0,1,0,0,0,1,0,0,1,0,0,0,64.0
625,0,1,52.52327,13.3577,2,1.0,1.0,2,276,1,2022,1,18,0,0,0,1,0,0,0,1,0,1,0,0,0,0,35.0
628,0,0,52.52834,13.39957,2,1.0,1.0,2,4,0,2022,1,25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,150.0
639,1,1,52.5516,13.41688,2,1.0,1.0,2,182,1,2022,1,41,1,0,0,0,0,1,0,0,1,0,0,0,0,0,55.0
650,1,1,52.50187,13.34221,2,1.0,1.0,2,363,0,2022,1,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,66.0
661,0,1,52.51031,13.3973,4,1.0,2.0,2,25,1,2022,1,36,1,0,0,0,0,1,0,0,1,0,0,0,0,0,97.0
662,0,0,52.48975,13.41933,3,1.0,1.0,2,48,0,2022,1,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,37.0
663,1,1,52.49155,13.39364,3,1.0,2.0,2,265,0,2022,1,29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,68.0
666,0,1,52.55307,13.38797,4,1.0,3.0,2,7,0,2022,1,17,0,0,0,1,0,0,0,1,0,0,1,0,0,0,27.0
668,0,1,52.4981,13.43707,2,1.0,2.0,2,8,1,2022,1,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,71.0
675,1,1,52.53844,13.40199,2,1.0,1.0,2,208,0,2022,1,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,55.0
684,0,1,52.49216,13.43033,4,2.0,3.0,2,28,0,2022,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,125.0
687,0,0,52.53746,13.43757,2,1.0,1.0,2,20,0,2022,1,31,1,0,0,0,0,1,0,0,1,0,0,0,0,0,65.0
708,0,1,52.4926,13.39603,2,1.0,1.0,1,2,0,2022,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
710,0,1,52.50067,13.41701,2,1.0,1.0,2,14,0,2022,1,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,55.0
711,0,1,52.49358,13.43289,1,1.0,1.0,1,16,0,2022,1,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,25.0
714,0,1,52.53626,13.41972,2,1.0,1.0,2,183,0,2022,1,23,0,0,0,1,0,0,0,1,0,0,1,0,0,0,44.0
720,0,1,52.53467,13.40511,2,1.0,1.0,1,31,0,2022,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,65.0
721,0,1,52.47049,13.45028,2,1.0,1.0,1,5,1,2022,1,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
722,0,1,52.49884,13.41807,2,1.0,1.0,2,7,0,2022,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,43.0
735,0,1,52.49881,13.34625,2,1.0,1.0,2,167,0,2022,1,43,0,0,0,1,0,0,0,1,0,1,0,0,0,0,56.0
737,0,1,52.49877,13.34632,6,2.0,3.0,2,82,0,2022,1,42,0,0,0,1,0,0,0,1,0,0,1,0,0,0,51.0
738,0,1,52.51579,13.42598,2,1.0,1.0,1,59,1,2022,1,19,0,0,1,0,0,0,0,1,0,0,1,0,0,0,121.0
